Dosing,Data,Dose_Timing,Ref_ID,Temporal_ID,Time,Converted_Concentration,Metabolite,Dose_Amount,Dose_mg_daily,Dose_Binary,Feeding_State,Sex_Ratio,Sex_Binary,Age_Cont,Age_Binary,Weight,Number,Disease,Disease_Binary,Drug,Drug_Binary,Drug_Reduced,Raw_Concentration,Raw_Units,Unit_Notes,Other_Notes
Single,Single,0,2,1,48,13.6414,AlbSO,400,400,Low,Fasted,1,Male,36,Adult,56,14,Onchocerciasis,Infected,None,None,None,13.6414,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,1,72,1.322,AlbSO,400,400,Low,Fasted,1,Male,36,Adult,56,14,Onchocerciasis,Infected,None,None,None,1.322,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,2,0,0,AlbSO,400,400,Low,Fasted,1,Male,39,Adult,61.5,14,Onchocerciasis,Infected,IVM,Yes,IVM_DEC_PQ,0,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,2,1,57.4079,AlbSO,400,400,Low,Fasted,1,Male,39,Adult,61.5,14,Onchocerciasis,Infected,IVM,Yes,IVM_DEC_PQ,57.4079,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,2,2,109.8824,AlbSO,400,400,Low,Fasted,1,Male,39,Adult,61.5,14,Onchocerciasis,Infected,IVM,Yes,IVM_DEC_PQ,109.8824,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,2,3,128.8473,AlbSO,400,400,Low,Fasted,1,Male,39,Adult,61.5,14,Onchocerciasis,Infected,IVM,Yes,IVM_DEC_PQ,128.8473,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,2,4,139.7654,AlbSO,400,400,Low,Fasted,1,Male,39,Adult,61.5,14,Onchocerciasis,Infected,IVM,Yes,IVM_DEC_PQ,139.7654,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,2,6,122.8965,AlbSO,400,400,Low,Fasted,1,Male,39,Adult,61.5,14,Onchocerciasis,Infected,IVM,Yes,IVM_DEC_PQ,122.8965,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,2,8,121.0906,AlbSO,400,400,Low,Fasted,1,Male,39,Adult,61.5,14,Onchocerciasis,Infected,IVM,Yes,IVM_DEC_PQ,121.0906,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,2,12,84.4942,AlbSO,400,400,Low,Fasted,1,Male,39,Adult,61.5,14,Onchocerciasis,Infected,IVM,Yes,IVM_DEC_PQ,84.4942,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,2,24,60.6753,AlbSO,400,400,Low,Fasted,1,Male,39,Adult,61.5,14,Onchocerciasis,Infected,IVM,Yes,IVM_DEC_PQ,60.6753,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,2,36,52.7013,AlbSO,400,400,Low,Fasted,1,Male,39,Adult,61.5,14,Onchocerciasis,Infected,IVM,Yes,IVM_DEC_PQ,52.7013,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,2,48,12.7771,AlbSO,400,400,Low,Fasted,1,Male,39,Adult,61.5,14,Onchocerciasis,Infected,IVM,Yes,IVM_DEC_PQ,12.7771,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,2,72,1.5068,AlbSO,400,400,Low,Fasted,1,Male,39,Adult,61.5,14,Onchocerciasis,Infected,IVM,Yes,IVM_DEC_PQ,1.5068,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,3,3,0,0,AlbSO,400,400,Low,Fasted,1,Male,43,Adult,53.4,22,Onchocerciasis,Infected,Levamisole,Yes,Other,0,ng/ml,No conversion required,
Single,Single,0,3,3,1,17.3883,AlbSO,400,400,Low,Fasted,1,Male,43,Adult,53.4,22,Onchocerciasis,Infected,Levamisole,Yes,Other,17.3883,ng/ml,No conversion required,
Single,Single,0,3,3,2,42.3518,AlbSO,400,400,Low,Fasted,1,Male,43,Adult,53.4,22,Onchocerciasis,Infected,Levamisole,Yes,Other,42.3518,ng/ml,No conversion required,
Single,Single,0,3,3,3,65.6327,AlbSO,400,400,Low,Fasted,1,Male,43,Adult,53.4,22,Onchocerciasis,Infected,Levamisole,Yes,Other,65.6327,ng/ml,No conversion required,
Single,Single,0,3,3,4,57.768,AlbSO,400,400,Low,Fasted,1,Male,43,Adult,53.4,22,Onchocerciasis,Infected,Levamisole,Yes,Other,57.768,ng/ml,No conversion required,
Single,Single,0,3,3,6,53.2644,AlbSO,400,400,Low,Fasted,1,Male,43,Adult,53.4,22,Onchocerciasis,Infected,Levamisole,Yes,Other,53.2644,ng/ml,No conversion required,
Single,Single,0,3,3,8,33.8919,AlbSO,400,400,Low,Fasted,1,Male,43,Adult,53.4,22,Onchocerciasis,Infected,Levamisole,Yes,Other,33.8919,ng/ml,No conversion required,
Single,Single,0,3,3,12,28.254,AlbSO,400,400,Low,Fasted,1,Male,43,Adult,53.4,22,Onchocerciasis,Infected,Levamisole,Yes,Other,28.254,ng/ml,No conversion required,
Single,Single,0,3,3,24,11.0554,AlbSO,400,400,Low,Fasted,1,Male,43,Adult,53.4,22,Onchocerciasis,Infected,Levamisole,Yes,Other,11.0554,ng/ml,No conversion required,
Single,Single,0,3,3,36,2.8348,AlbSO,400,400,Low,Fasted,1,Male,43,Adult,53.4,22,Onchocerciasis,Infected,Levamisole,Yes,Other,2.8348,ng/ml,No conversion required,
Single,Single,0,3,3,48,1.3493,AlbSO,400,400,Low,Fasted,1,Male,43,Adult,53.4,22,Onchocerciasis,Infected,Levamisole,Yes,Other,1.3493,ng/ml,No conversion required,
Single,Single,0,3,3,72,0,AlbSO,400,400,Low,Fasted,1,Male,43,Adult,53.4,22,Onchocerciasis,Infected,Levamisole,Yes,Other,0,ng/ml,No conversion required,
Single,Single,0,4,4,0,0,AlbSO,1200,1200,High,Fatty_meal,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,0,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,4,1,239.5206,AlbSO,1200,1200,High,Fatty_meal,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,239.5206,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,4,2,345.4821,AlbSO,1200,1200,High,Fatty_meal,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,345.4821,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,4,3,428.777,AlbSO,1200,1200,High,Fatty_meal,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,428.777,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,4,4,489.4544,AlbSO,1200,1200,High,Fatty_meal,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,489.4544,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,4,6,393.114,AlbSO,1200,1200,High,Fatty_meal,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,393.114,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,4,12,289.1138,AlbSO,1200,1200,High,Fatty_meal,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,289.1138,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,4,24,51.9365,AlbSO,1200,1200,High,Fatty_meal,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,51.9365,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,4,36,29.0375,AlbSO,1200,1200,High,Fatty_meal,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,29.0375,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,4,48,6.0623,AlbSO,1200,1200,High,Fatty_meal,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,6.0623,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,4,72,0.0987,AlbSO,1200,1200,High,Fatty_meal,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,0.0987,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,4,96,0.0977,AlbSO,1200,1200,High,Fatty_meal,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,0.0977,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,5,0,0,AlbSO,1200,1200,High,Fasted,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,0,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,5,1,5.5,AlbSO,1200,1200,High,Fasted,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,5.5,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,5,2,56.9069,AlbSO,1200,1200,High,Fasted,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,56.9069,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,5,3,39.3656,AlbSO,1200,1200,High,Fasted,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,39.3656,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,5,4,62.7737,AlbSO,1200,1200,High,Fasted,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,62.7737,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,5,6,68.089,AlbSO,1200,1200,High,Fasted,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,68.089,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,5,8,45.4904,AlbSO,1200,1200,High,Fasted,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,45.4904,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,5,12,24.8142,AlbSO,1200,1200,High,Fasted,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,24.8142,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,5,24,51.9221,AlbSO,1200,1200,High,Fasted,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,51.9221,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,5,36,58.5657,AlbSO,1200,1200,High,Fasted,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,58.5657,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,5,48,7.7871,AlbSO,1200,1200,High,Fasted,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,7.7871,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,5,72,5.3407,AlbSO,1200,1200,High,Fasted,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,5.3407,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,4,5,96,1.0996,AlbSO,1200,1200,High,Fasted,1,Male,NA,Adult,NA,14,Onchocerciasis,Infected,None,None,None,1.0996,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,8,6,0,0,Alb,400,400,Low,Fatty_meal,0.5,Mixture,NA,Adult,NA,8,None,Healthy,None,None,None,0,ug/ml,ug -> ng = * 1000,
Single,Single,0,8,6,2,118.6,Alb,400,400,Low,Fatty_meal,0.5,Mixture,NA,Adult,NA,8,None,Healthy,None,None,None,0.1186,ug/ml,ug -> ng = * 1000,
Single,Single,0,8,6,4,99.5,Alb,400,400,Low,Fatty_meal,0.5,Mixture,NA,Adult,NA,8,None,Healthy,None,None,None,0.0995,ug/ml,ug -> ng = * 1000,
Single,Single,0,8,6,8,27.8,Alb,400,400,Low,Fatty_meal,0.5,Mixture,NA,Adult,NA,8,None,Healthy,None,None,None,0.0278,ug/ml,ug -> ng = * 1000,
Single,Single,0,8,6,12,19.5,Alb,400,400,Low,Fatty_meal,0.5,Mixture,NA,Adult,NA,8,None,Healthy,None,None,None,0.0195,ug/ml,ug -> ng = * 1000,
Single,Single,0,8,6,0,0,AlbSO,400,400,Low,Fatty_meal,0.5,Mixture,NA,Adult,NA,8,None,Healthy,None,None,None,0,ug/ml,ug -> ng = * 1000,
Single,Single,0,8,6,2,866.5,AlbSO,400,400,Low,Fatty_meal,0.5,Mixture,NA,Adult,NA,8,None,Healthy,None,None,None,0.8665,ug/ml,ug -> ng = * 1000,
Single,Single,0,8,6,4,1078.1,AlbSO,400,400,Low,Fatty_meal,0.5,Mixture,NA,Adult,NA,8,None,Healthy,None,None,None,1.0781,ug/ml,ug -> ng = * 1000,
Single,Single,0,8,6,8,798.1,AlbSO,400,400,Low,Fatty_meal,0.5,Mixture,NA,Adult,NA,8,None,Healthy,None,None,None,0.7981,ug/ml,ug -> ng = * 1000,
Single,Single,0,8,6,12,670.5,AlbSO,400,400,Low,Fatty_meal,0.5,Mixture,NA,Adult,NA,8,None,Healthy,None,None,None,0.6705,ug/ml,ug -> ng = * 1000,
Single,Single,0,8,6,24,303.2,AlbSO,400,400,Low,Fatty_meal,0.5,Mixture,NA,Adult,NA,8,None,Healthy,None,None,None,0.3032,ug/ml,ug -> ng = * 1000,
Single,Single,0,8,6,36,147.8,AlbSO,400,400,Low,Fatty_meal,0.5,Mixture,NA,Adult,NA,8,None,Healthy,None,None,None,0.1478,ug/ml,ug -> ng = * 1000,
Single,Single,0,8,6,48,74.3,AlbSO,400,400,Low,Fatty_meal,0.5,Mixture,NA,Adult,NA,8,None,Healthy,None,None,None,0.0743,ug/ml,ug -> ng = * 1000,
Single,Single,0,8,6,72,27.8,AlbSO,400,400,Low,Fatty_meal,0.5,Mixture,NA,Adult,NA,8,None,Healthy,None,None,None,0.0278,ug/ml,ug -> ng = * 1000,
Single,Single,0,9,7,0,0,Alb,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,0,ng/ml,No conversion required,
Single,Single,0,9,7,0.5,14.5394,Alb,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,14.5394,ng/ml,No conversion required,
Single,Single,0,9,7,1,57.1022,Alb,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,57.1022,ng/ml,No conversion required,
Single,Single,0,9,7,2,78.7244,Alb,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,78.7244,ng/ml,No conversion required,
Single,Single,0,9,7,3,70.7911,Alb,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,70.7911,ng/ml,No conversion required,
Single,Single,0,9,7,4,45.2212,Alb,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,45.2212,ng/ml,No conversion required,
Single,Single,0,9,7,5,29.511,Alb,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,29.511,ng/ml,No conversion required,
Single,Single,0,9,7,7,10.15,Alb,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,10.15,ng/ml,No conversion required,
Single,Single,0,9,7,9,5.5865,Alb,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,5.5865,ng/ml,No conversion required,
Single,Single,0,9,7,12,2.8242,Alb,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,2.8242,ng/ml,No conversion required,
Single,Single,0,9,7,24,0.7561,Alb,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,0.7561,ng/ml,No conversion required,
Single,Single,0,9,7,36,0.2351,Alb,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,0.2351,ng/ml,No conversion required,
Single,Single,0,9,7,0,0,AlbSO,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,0,ng/ml,No conversion required,
Single,Single,0,9,7,0.5,50.2149,AlbSO,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,50.2149,ng/ml,No conversion required,
Single,Single,0,9,7,1,229.0275,AlbSO,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,229.0275,ng/ml,No conversion required,
Single,Single,0,9,7,2,463.8859,AlbSO,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,463.8859,ng/ml,No conversion required,
Single,Single,0,9,7,3,562.596,AlbSO,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,562.596,ng/ml,No conversion required,
Single,Single,0,9,7,4,587.5126,AlbSO,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,587.5126,ng/ml,No conversion required,
Single,Single,0,9,7,5,528.29,AlbSO,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,528.29,ng/ml,No conversion required,
Single,Single,0,9,7,7,367.8166,AlbSO,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,367.8166,ng/ml,No conversion required,
Single,Single,0,9,7,9,303.8243,AlbSO,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,303.8243,ng/ml,No conversion required,
Single,Single,0,9,7,12,211.6408,AlbSO,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,211.6408,ng/ml,No conversion required,
Single,Single,0,9,7,24,76.4242,AlbSO,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,76.4242,ng/ml,No conversion required,
Single,Single,0,9,7,36,23.7628,AlbSO,400,400,Low,NA,1,Male,NA,Adult,NA,20,None,Healthy,None,None,None,23.7628,ng/ml,No conversion required,
Single,Single,0,10,8,0,0,Alb,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,0,ng/ml,No conversion required,
Single,Single,0,10,8,1,7.1468,Alb,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,7.1468,ng/ml,No conversion required,
Single,Single,0,10,8,2,21.0672,Alb,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,21.0672,ng/ml,No conversion required,
Single,Single,0,10,8,3,21.8536,Alb,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,21.8536,ng/ml,No conversion required,
Single,Single,0,10,8,4,24.8441,Alb,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,24.8441,ng/ml,No conversion required,
Single,Single,0,10,8,6,22.2577,Alb,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,22.2577,ng/ml,No conversion required,
Single,Single,0,10,8,8,9.069,Alb,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,9.069,ng/ml,No conversion required,
Single,Single,0,10,8,12,3.4341,Alb,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,3.4341,ng/ml,No conversion required,
Single,Single,0,10,8,24,0.8377,Alb,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,0.8377,ng/ml,No conversion required,
Single,Single,0,10,8,36,0.4025,Alb,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,0.4025,ng/ml,No conversion required,
Single,Single,0,10,8,48,0.161,Alb,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,0.161,ng/ml,No conversion required,
Single,Single,0,10,8,0,0,AlbSO,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,0,ng/ml,No conversion required,
Single,Single,0,10,8,1,37.7699,AlbSO,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,37.7699,ng/ml,No conversion required,
Single,Single,0,10,8,2,142.6683,AlbSO,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,142.6683,ng/ml,No conversion required,
Single,Single,0,10,8,3,252.1083,AlbSO,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,252.1083,ng/ml,No conversion required,
Single,Single,0,10,8,4,351.3623,AlbSO,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,351.3623,ng/ml,No conversion required,
Single,Single,0,10,8,6,414.6263,AlbSO,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,414.6263,ng/ml,No conversion required,
Single,Single,0,10,8,8,359.2955,AlbSO,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,359.2955,ng/ml,No conversion required,
Single,Single,0,10,8,12,251.3308,AlbSO,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,251.3308,ng/ml,No conversion required,
Single,Single,0,10,8,24,104.0056,AlbSO,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,104.0056,ng/ml,No conversion required,
Single,Single,0,10,8,36,40.0812,AlbSO,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,40.0812,ng/ml,No conversion required,
Single,Single,0,10,8,48,17.3916,AlbSO,400,400,Low,Fasted,NA,Mixture,NA,Adult,NA,7,Mixture,Mixture,DEC + IVM,Yes,IVM_DEC_PQ,17.3916,ng/ml,No conversion required,
Single,Single,0,11,9,0,0,Alb,400,400,Low,Fasted,1,Male,31,Adult,73,8,None,Healthy,None,None,None,0,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,11,9,0.5,2.8866,Alb,400,400,Low,Fasted,1,Male,31,Adult,73,8,None,Healthy,None,None,None,2.8866,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,11,9,1,9.6955,Alb,400,400,Low,Fasted,1,Male,31,Adult,73,8,None,Healthy,None,None,None,9.6955,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,11,9,2,10.9381,Alb,400,400,Low,Fasted,1,Male,31,Adult,73,8,None,Healthy,None,None,None,10.9381,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,11,9,3,8.1979,Alb,400,400,Low,Fasted,1,Male,31,Adult,73,8,None,Healthy,None,None,None,8.1979,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,11,9,4,7.2574,Alb,400,400,Low,Fasted,1,Male,31,Adult,73,8,None,Healthy,None,None,None,7.2574,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,11,9,6,4.6015,Alb,400,400,Low,Fasted,1,Male,31,Adult,73,8,None,Healthy,None,None,None,4.6015,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,11,9,10,5.3412,Alb,400,400,Low,Fasted,1,Male,31,Adult,73,8,None,Healthy,None,None,None,5.3412,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,11,9,24,0.3854,Alb,400,400,Low,Fasted,1,Male,31,Adult,73,8,None,Healthy,None,None,None,0.3854,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,11,9,0,0,AlbSO,400,400,Low,Fasted,1,Male,31,Adult,73,8,None,Healthy,None,None,None,0,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
